10;68646;1
10;113277;1
8;454876;2
7;790636;2
8;816711;2
7;1091191;2
7;1322269;2
8;1433811;2
8;1454468;2
8;1535109;2
8;1675434;2
10;1798709;2
7;2017038;2
10;2024544;2
8;2294629;2
7;1300854;3
8;1764234;4
9;1790885;4
7;2053463;4
10;385002;5
10;1220198;5
10;1462900;5
10;1512685;5
10;1631707;5
1;1986994;5
10;1999995;5
6;3294634;6
10;1272878;7
10;452623;8
7;800241;9
8;2258858;10
10;103064;11
7;359950;12
9;770828;12
8;1091191;12
7;1170358;12
4;1210819;12
7;1430132;12
8;1490017;12
6;1535108;12
6;1663662;12
8;1843866;12
5;2334879;12
7;1210819;13
8;109830;14
7;1535109;14
7;108002;15
9;108399;15
10;111161;15
9;418279;15
7;453562;15
8;790724;15
5;816711;15
8;1045658;15
9;1055369;15
5;1232829;15
6;1272878;15
6;1300854;15
8;1399103;15
5;1588173;15
5;1606378;15
8;1606389;15
1;1636826;15
8;1659337;15
6;1670345;15
7;1763303;15
2;1855199;15
5;1905041;15
5;1945062;15
5;1981677;15
8;2194499;15
10;120338;16
10;120737;16
10;167260;16
10;167261;16
10;266543;16
10;325980;16
10;454876;16
10;468569;16
10;848228;16
10;910970;16
10;986264;16
9;1074638;16
10;1187043;16
10;1201607;16
9;1300854;16
10;1345836;16
10;1375666;16
9;1905041;16
8;1951261;16
7;882977;17
8;1446192;17
7;1602613;18
8;2278388;19
4;1203517;20
6;1343092;20
6;1411250;20
9;1727388;20
2;1853739;20
9;68646;21
10;1211956;21
9;1392214;21
5;1411250;21
7;1690953;21
2;2171867;21
1;2644714;21
6;95705;22
4;102803;22
8;120201;22
7;208092;22
6;427470;22
7;756648;22
5;829482;22
4;990407;22
7;1232829;22
7;1259014;22
3;1270291;22
6;1343092;22
7;1692486;22
4;1928330;22
7;2172935;22
8;2278388;22
9;65938;23
8;1650554;24
9;68646;25
10;71562;25
8;86250;25
8;99674;25
9;393162;25
8;430922;25
9;1024648;25
8;1300854;25
7;1392170;25
6;1433108;25
9;1650554;25
7;1706593;25
9;1300854;26
9;1408101;26
7;25316;27
9;31381;27
7;34248;27
8;34583;27
8;37017;27
7;38109;27
9;38787;27
6;39694;27
5;42004;27
9;44706;27
6;44937;27
8;48947;27
4;51658;27
5;57590;27
8;68646;27
8;105695;27
7;975645;27
5;1024648;27
7;1045658;27
5;1195478;27
7;1210819;27
7;1343092;27
7;1616195;27
9;1623205;27
6;1670345;27
7;1907668;27
8;1911644;27
9;2023587;27
8;2083383;27
9;2294629;27
5;2302755;27
10;109830;28
8;119008;28
10;137523;28
8;169547;28
3;292963;28
9;338013;28
9;352248;28
10;427309;28
10;450259;28
9;1045658;28
9;1306980;28
10;1392214;28
9;1535109;28
9;1979320;28
5;1229340;29
8;1430132;30
8;1723121;31
10;359950;32
9;36775;33
9;38057;33
6;40202;33
8;40897;33
8;43265;33
9;44079;33
8;48316;33
8;56923;33
6;57171;33
8;61495;33
9;63442;33
7;65063;33
9;78788;33
8;91167;33
6;94226;33
7;95765;33
8;97123;33
9;97216;33
4;100589;33
9;104466;33
6;113819;33
8;122136;33
7;259072;33
8;317248;33
8;336693;33
5;353969;33
7;367089;33
9;369702;33
10;385277;33
7;416960;33
7;427312;33
7;446755;33
7;457513;33
6;907657;33
6;993846;33
7;1032825;33
8;1263750;33
8;1426378;33
6;1454468;33
6;1491044;33
8;1559036;33
6;1602613;33
